# DynRec Optimization Log
# Timestamp: 2025-04-08 16:07:35

[Configuration]
Loss Function: AmplitudePhaseL2
Loss Config: {"numeric":{"amp_weight":1.0,"phase_weight":1.0},"type":"AmplitudePhaseL2"}
Regularization: L2
Regularization Config: {"type":"L2"}
Lambda: 0.01
Target: 
(1.2,0.3) 
(2.1,0.4) 
(1.8,-0.2) 
...
Initial x0: 
0 
0 
0 


[Optimization]
Optimization Name: pso
Optimization Config: {"max_iter":1000}

[Iterations]
Iter	Loss	GradientNorm
0	2.07524094	0.00000000
1	0.84572316	0.00000000
2	0.26725809	0.00000000
3	0.26725809	0.00000000
4	0.22307306	0.00000000
5	0.18070202	0.00000000
6	0.10518641	0.00000000
7	0.09486034	0.00000000
8	0.08337917	0.00000000
9	0.07870025	0.00000000
10	0.07870025	0.00000000
11	0.07846982	0.00000000
12	0.07846982	0.00000000
13	0.07589523	0.00000000
14	0.07589523	0.00000000
15	0.07589523	0.00000000
16	0.07589523	0.00000000
17	0.07589523	0.00000000
18	0.07294299	0.00000000
19	0.07294299	0.00000000
20	0.07248254	0.00000000
21	0.07116231	0.00000000
22	0.07116231	0.00000000
23	0.07083445	0.00000000
24	0.07059750	0.00000000
25	0.07059750	0.00000000
26	0.07059750	0.00000000
27	0.07059750	0.00000000
28	0.07059330	0.00000000
29	0.07058200	0.00000000
30	0.07058200	0.00000000
31	0.07055833	0.00000000
32	0.07055833	0.00000000
33	0.07055833	0.00000000
34	0.07055833	0.00000000
35	0.07055833	0.00000000
36	0.07055833	0.00000000
37	0.07055833	0.00000000
38	0.07055810	0.00000000
39	0.07055810	0.00000000
40	0.07055810	0.00000000
41	0.07055810	0.00000000
42	0.07055810	0.00000000
43	0.07055810	0.00000000
44	0.07055810	0.00000000
45	0.07055810	0.00000000
46	0.07055810	0.00000000
47	0.07055795	0.00000000
48	0.07055795	0.00000000
49	0.07055795	0.00000000
50	0.07055795	0.00000000
51	0.07055795	0.00000000
52	0.07055795	0.00000000
53	0.07055795	0.00000000
54	0.07055795	0.00000000
55	0.07055795	0.00000000
56	0.07055795	0.00000000
57	0.07055795	0.00000000
58	0.07055795	0.00000000
59	0.07055795	0.00000000
60	0.07055793	0.00000000
61	0.07055793	0.00000000
62	0.07055787	0.00000000
63	0.07055787	0.00000000
64	0.07055787	0.00000000
65	0.07055787	0.00000000
66	0.07055787	0.00000000
67	0.07055786	0.00000000
68	0.07055785	0.00000000
69	0.07055784	0.00000000
70	0.07055784	0.00000000
71	0.07055784	0.00000000
72	0.07055784	0.00000000
73	0.07055784	0.00000000
74	0.07055784	0.00000000
75	0.07055784	0.00000000
76	0.07055784	0.00000000
77	0.07055784	0.00000000
78	0.07055784	0.00000000
79	0.07055784	0.00000000
80	0.07055784	0.00000000
81	0.07055784	0.00000000
82	0.07055784	0.00000000
83	0.07055784	0.00000000
84	0.07055784	0.00000000
85	0.07055784	0.00000000
86	0.07055784	0.00000000
87	0.07055784	0.00000000
88	0.07055784	0.00000000
89	0.07055784	0.00000000
90	0.07055784	0.00000000
91	0.07055784	0.00000000
92	0.07055784	0.00000000
93	0.07055784	0.00000000
94	0.07055784	0.00000000
95	0.07055784	0.00000000
96	0.07055784	0.00000000
97	0.07055784	0.00000000
98	0.07055784	0.00000000
99	0.07055784	0.00000000
100	0.07055784	0.00000000
101	0.07055784	0.00000000
102	0.07055784	0.00000000
103	0.07055784	0.00000000
104	0.07055784	0.00000000
105	0.07055784	0.00000000
106	0.07055784	0.00000000
107	0.07055784	0.00000000
108	0.07055784	0.00000000
109	0.07055784	0.00000000
110	0.07055784	0.00000000
111	0.07055784	0.00000000
112	0.07055784	0.00000000
113	0.07055784	0.00000000
114	0.07055784	0.00000000
115	0.07055784	0.00000000
116	0.07055784	0.00000000
117	0.07055784	0.00000000
118	0.07055784	0.00000000
119	0.07055784	0.00000000
120	0.07055784	0.00000000
121	0.07055784	0.00000000
122	0.07055784	0.00000000
123	0.07055784	0.00000000
